COMID,LAKE_NAME,LON_NAD83,LAT_NAD83,VARIABLE,THRESHOLD,BLOOM_MAG,PROB_EXCEED,CI_97.5PERC,CI_2.5PERC
23704143,Wickiup Reservoir,-121.7326407,43.67878684,microcystin,0.2,0.00619836,0.133560182,0.195497366,0.089073234
23704173,Davis Lake,-121.8440815,43.61600821,microcystin,0.2,0.005424924,0.130426953,0.192065027,0.086453273
23704191,Odell Lake,-122.0008593,43.57224088,microcystin,0.2,0.009762717,0.1488302,0.212192186,0.101940282
23707624,East Lake,-121.2102956,43.72797655,microcystin,0.2,0.001304702,0.114773879,0.174830059,0.073509888
23707632,Paulina Lake,-121.2582699,43.71984533,microcystin,0.2,0.005827452,0.132049743,0.193843225,0.087809199
23707652,Crescent Lake,-121.9906107,43.47746799,microcystin,0.2,0.002796429,0.120242893,0.18087277,0.078001285
23707664,Summit Lake,-122.1210364,43.45561141,microcystin,0.2,0.003482238,0.12283189,0.1837245,0.080139776
23740507,Vancouver Lake,-122.720494,45.67896733,microcystin,0.2,0.087405893,0.731381058,0.857645006,0.551668705
23756162,Fall Crook Lake,-122.6839683,43.96521802,microcystin,0.2,0.000499751,0.111913581,0.171657864,0.071176157
23756298,Waldo Lake,-122.0435795,43.73000901,microcystin,0.2,0.004479566,0.12668234,0.187957042,0.083333466
23756364,Hills Creek Lake,-122.4112641,43.70681038,microcystin,0.2,0.001097334,0.114030992,0.174007016,0.072902708
23761332,Dorena Lake,-122.9279296,43.776759,microcystin,0.2,0.00051278,0.111959376,0.171708724,0.071213433
23761342,Cottage Grove Lake,-123.0647544,43.70428464,microcystin,0.2,0.000480764,0.111846871,0.17158377,0.071121861
23769069,Fern Ridge Lake,-123.2955805,44.08690659,microcystin,0.2,0.001635431,0.115967415,0.176151193,0.074486901
23783629,Detroit Lake,-122.1593303,44.72574317,microcystin,0.2,0.009911999,0.149500134,0.212924315,0.10250773
23788951,Green Peter Lake,-122.5119716,44.46925484,microcystin,0.2,0.000511179,0.111953748,0.171702474,0.071208852
23788981,Foster Lake,-122.6442308,44.41380565,microcystin,0.2,0.000723193,0.112701251,0.172532323,0.071817715
23807386,Henry Hagg Lake,-123.2198856,45.48492038,microcystin,0.2,0.000481951,0.111851039,0.1715884,0.071125253
23812618,Timothy Lake,-121.7844774,45.12220094,microcystin,0.2,0.002721883,0.119964333,0.18056563,0.077771648
23816352,Sturgeon Lake,-122.8013348,45.71642747,microcystin,0.2,0.066738064,0.567296839,0.702493597,0.421275614
23842132,Ozette Lake,-124.637169,48.09467915,microcystin,0.2,0.001128107,0.114140973,0.1741289,0.072992551
2384576,Lake Waconia,-93.77142757,44.86905746,microcystin,0.2,0.021551599,0.209663793,0.279497006,0.153559948
23848103,"Quinault, Lake",-123.8688906,47.47531982,microcystin,0.2,0.000470121,0.111809491,0.171542251,0.07109144
2385692,Silver Lake,-93.97340809,44.61842432,microcystin,0.2,0.319564289,0.999900047,0.999996925,0.996760502
2385742,Cedar Lake,-93.52360316,44.5899495,microcystin,0.2,0.073170126,0.622052,0.759098017,0.462270201
2387652,High Island Lake,-94.20987576,44.66676276,microcystin,0.2,0.306414381,0.999840887,0.999994283,0.995590149
